原文,中译,属性,人物与另一词条相等情况,人物所属另一词条（团体）,作品所属另一词条（作者）,作品所属另一词条（专辑）（单曲或章节等情况下）,作品年份,mimida,翻译来源及注释（mimida）,Tian Tang,翻译来源及注释（Tian Tang）,redhousepainter,翻译来源及注释（redhousepainter）,Lil Bag,翻译来源及注释（Lil Bag）
World Class Wreckin' Cru,世界级破坏团伙,乐人,,,,,,世界级破坏团伙,,,,,,,
《Juice》,果汁,歌,,,World Class Wreckin' Cru,,1985,果汁,,,,,,,
Alonzo Williams,阿隆佐·威廉姆斯,乐人,,World Class Wreckin' Cru,,,,阿隆佐·威廉姆斯,,,,,,,
DJ Yella,DJ耶拉,乐人,,World Class Wreckin' Cru,,,,DJ耶拉,,,,,,,
Ice T,冰T,乐人,,,,,,冰T,,,,,,,
《Power》,权力,专辑,,,Ice T,,1988,权力,,,,,,,
Pittsburgh Slim,匹兹堡瘦子,乐人,,,,,,匹兹堡瘦子,,,,,,,
Slim Thug,瘦暴徒,乐人,,,,,,瘦暴徒,,,,,,,
Snoop Dogg,史努比狗狗,乐人,,,,,,史努比狗狗,,,,,,,
MC Eiht,MC诶特,乐人,,,,,,,MC依特,可以,,,,MC诶特,MC八号 
WC,WC,乐人,,,,,,WC,,,,,,,
Eazy-E,伊基-E,乐人,,,,,,伊基-E,Eazy在中文界通常是否需要意译？,idk…,,伊基-E,之前有翻：从容的e；随和的e，都蛮崩溃的,随和E,
N.W.A,N.W.A,乐人,,,,,,N.W.A,,,,,,,
Niggaz Wit Attitudes,有态度的黑鬼,乐人,,,,,,,黑哥们儿？黑兄弟？,有态度的黑兄弟,,有态度的黑鬼,Niggaz是骂人的粗活，【有态度的黑鬼】可能更合适点。,有态度的黑鬼,
《Niggaz4Life》,终生黑鬼,专辑,,,N.W.A,,1991,终生黑鬼,,生为黑人 / 生而为黑,,一辈子黑鬼,,,
《Straight Outta Compton》,冲出康普顿,专辑,,,N.W.A,,1988,冲出康普顿,,,,,,,
《Fuck the Police》,操死警察,歌,,,N.W.A,《Straight Outta Compton》,1988,操死警察,见过“操那些警察”、“操死警察”等等译法,干死警察,,,,干死警察,
《Gangsta Gangsta》,匪帮，匪帮,歌,,,N.W.A,《Straight Outta Compton》,1988,匪帮，匪帮,,,,,,,
MC Ren,MC伦,乐人,,N.W.A,,,,MC伦,,可以,,,,MC伦,
Arabian Prince,阿拉伯王子,乐人,,N.W.A,,,,阿拉伯王子,,,,,,,
《The Predator》,掠夺者,专辑,,,Ice Cube,,1992,掠夺者,,,,,,,
《It was a Good Day》,美好的一天,歌,,,Ice Cube,《The Predator》,1992,美好的一天,,,,,,,
《100 Miles and Runnin’》,百英里狂奔,专辑,,,N.W.A,,1990,百英里狂奔,,可以,,,,,
《It's On (D̵r̵.̵ ̵D̵r̵e̵) 187um Killa》,谋杀（德瑞博士）进行中,专辑,,,Eazy-E,,1993,,,,,,,谋杀（德瑞博士）进行中,
Above the Law,法外之徒,乐人,,,,,,无法无天,见有人译为“法律之上”,逍遥法外,,,,法外之徒,
Bone Thugs-n-Harmony,硬骨柔情帮,乐人,,,,,,骨头恶棍和声,,硬骨柔情帮,,骨头帮,,,
The Black Eyed Peas,黑眼豆豆,乐人,,,,,,黑眼豆豆,,,,,,,
Atban Klann,无国界部落,乐人,The Black Eyed Peas,,,,,无国界部落,,,,,,,
《Show Me What You Got》,露给我看看,歌,,,Jay-Z,,2006,露给我看看,,露给我看,,,,,
《Let Me Ride》,让我驾驭,歌,,,Dr. Dre,,1992,,,由我驾驭,,,,让我驾驭,
《2001》,2001,专辑,,,Dr. Dre,,1999,2001,,,,,,,
《Next Episode》,下一集,歌,,,Dr. Dre,《2001》,1999,下一集,,,,,,,
